Id,ActivityHour,totalSteps,Calories,TotalIntensity,AverageIntensity
8877689391,2016-04-10 11:00:00,10565,933,180,3
8877689391,2016-03-27 15:00:00,10141,916,180,3
8877689391,2016-03-27 16:00:00,10018,906,180,3
8877689391,2016-03-12 14:00:00,9149,856,160,2.666667
8877689391,2016-03-23 18:00:00,10076,848,180,3
8877689391,2016-04-02 16:00:00,9292,826,175,2.916667
8877689391,2016-04-04 19:00:00,9557,800,172,2.866667
8877689391,2016-03-17 18:00:00,4289,760,180,3
8877689391,2016-03-16 18:00:00,8040,734,145,2.416667
8877689391,2016-03-22 18:00:00,4492,716,179,2.983333
8877689391,2016-03-30 12:00:00,7163,708,143,2.383333
8877689391,2016-03-18 17:00:00,7721,707,142,2.366667
8877689391,2016-04-08 16:00:00,7452,687,136,2.266667
8378563200,2016-03-29 05:00:00,0,669,165,2.75
8378563200,2016-04-11 05:00:00,0,669,165,2.75
8378563200,2016-03-22 05:00:00,0,669,165,2.75
8378563200,2016-03-25 05:00:00,0,669,165,2.75
8378563200,2016-03-28 05:00:00,0,669,165,2.75
8378563200,2016-03-14 05:00:00,0,669,165,2.75
8378563200,2016-04-06 05:00:00,0,669,165,2.75
8378563200,2016-03-31 05:00:00,0,669,165,2.75
8378563200,2016-04-05 05:00:00,0,669,165,2.75
8378563200,2016-04-04 05:00:00,0,669,165,2.75
8378563200,2016-03-23 05:00:00,0,669,165,2.75
8378563200,2016-04-12 05:00:00,0,669,165,2.75
8378563200,2016-04-07 05:00:00,0,669,165,2.75
8378563200,2016-03-24 05:00:00,0,669,165,2.75
8378563200,2016-04-08 05:00:00,0,669,165,2.75
8877689391,2016-04-03 16:00:00,3013,652,152,2.533333
8877689391,2016-03-19 14:00:00,2762,650,165,2.75
8877689391,2016-04-09 15:00:00,4083,643,176,2.933333
8053475328,2016-04-03 15:00:00,7801,636,180,3
5577150313,2016-04-02 11:00:00,3654,632,180,3
8053475328,2016-04-11 19:00:00,7634,632,180,3
8877689391,2016-04-10 12:00:00,6299,630,130,2.166667
8877689391,2016-04-06 19:00:00,6220,617,121,2.016667
8877689391,2016-03-14 19:00:00,6461,616,127,2.116667
8053475328,2016-03-13 22:00:00,7613,612,180,3
8877689391,2016-03-29 12:00:00,6255,609,122,2.033333
5577150313,2016-04-01 19:00:00,3210,608,137,2.283333
8053475328,2016-03-19 14:00:00,6922,600,170,2.833333
6290855005,2016-03-12 09:00:00,2559,599,100,1.666667
8053475328,2016-03-13 20:00:00,7416,585,180,3
8053475328,2016-03-13 14:00:00,7165,583,179,2.983333
8053475328,2016-04-04 20:00:00,7300,579,179,2.983333
5577150313,2016-04-02 12:00:00,2872,574,164,2.733333
8053475328,2016-04-03 18:00:00,6676,569,157,2.616667
8877689391,2016-03-20 17:00:00,5398,560,108,1.8
2022484408,2016-03-29 10:00:00,3295,538,161,2.683333
8053475328,2016-04-02 12:00:00,6102,535,149,2.483333
1927972279,2016-03-30 13:00:00,5840,534,174,2.9
6290855005,2016-03-27 09:00:00,22,525,72,1.2
6290855005,2016-03-22 09:00:00,18,525,72,1.2
1927972279,2016-03-18 13:00:00,5526,521,165,2.75
8877689391,2016-03-20 16:00:00,5136,519,101,1.683333
7086361926,2016-04-07 17:00:00,6613,518,138,2.3
8053475328,2016-03-12 18:00:00,6320,516,155,2.583333
1927972279,2016-03-27 13:00:00,5518,511,159,2.65
2022484408,2016-03-25 09:00:00,5883,511,167,2.783333
1927972279,2016-03-30 14:00:00,5510,508,163,2.716667
5577150313,2016-03-16 19:00:00,3384,508,144,2.4
5577150313,2016-03-13 08:00:00,1352,508,154,2.566667
8877689391,2016-03-14 20:00:00,4720,507,100,1.666667
1927972279,2016-03-27 12:00:00,5473,506,156,2.6
2022484408,2016-03-21 10:00:00,6163,502,152,2.533333
7007744171,2016-03-22 08:00:00,6033,501,173,2.883333
1927972279,2016-03-16 14:00:00,5282,499,156,2.6
5577150313,2016-03-15 14:00:00,1149,489,131,2.183333
5577150313,2016-03-31 07:00:00,1841,489,132,2.2
2022484408,2016-03-18 09:00:00,6013,488,169,2.816667
5577150313,2016-04-06 06:00:00,1961,488,138,2.3
8053475328,2016-04-07 19:00:00,5797,488,143,2.383333
